Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,Dads Hat Rye,10,0,0,16,0,160,0,0,160,160,160,Liquor,
Item,Asbach Uralt,5,0,0,13,0,65,0,0,65,65,65,Liquor,
Item,CH Bronzini,13,0,1,19,0,277.4,76,11.4,190,190,201.4,Food,
Item,Absolut,179,0,0,8.65,0,1549,6,0,1543,1543,1543,Liquor,
Item,CH Pork Spiedie,16,0,0,17,0,285.26,51,13.26,221,221,234.26,Food,
Item,Licor 43,3,0,0,6,0,18,0,0,18,18,18,Liquor,
Item,CH Tigershrimp 6,14,0,0,15,0,219.45,52.5,9.45,157.5,157.5,166.95,Food,
Item,Gran Coramino,4,0,0,14.25,0,57,0,0,57,57,57,Liquor,
Item,Mahon,16,0,0,15.19,0,243,17,0,226,226,226,Liquor,
Item,Shirley Temple,79,2,0,3.5,0,293.09,0,16.59,276.5,276.5,293.09,Beverage,
Item,Sanguinello Spritz,161,0,0,13,0,2093,52,0,2041,2041,2041,Liquor,
Item,D/ Chardonnay,356,2,0,9,0,3204,72,0,3132,3132,3132,Wine,
Item,Yamazaki 12,11,2,0,28.73,0,316,0,0,316,316,316,Liquor,
Item,Ilegal Mezcal,4,0,0,16,0,64,13,0,51,51,51,Liquor,
Item,Opihr,34,0,0,14.62,0,497,15,0,482,482,482,Liquor,
Item,Faccia Bruto,17,0,0,10.76,0,183,11,0,172,172,172,Liquor,
Item,Auld Aviation,187,1,0,14.12,0,2640,154,0,2486,2486,2486,Liquor,
Item,CH Lobster & Corn Soup,13,0,0,13,0,176.02,52,7.02,117,117,124.02,Food,
Item,CH Chopped Salad,18,0,0,10,0,188.1,45,8.1,135,135,143.1,Food,
Item,Cappelletti,9,0,0,7.44,0,67,0,0,67,67,67,Liquor,
Item,Aviation Cocktail,77,2,0,13.01,0,1002,40,0,962,962,962,Liquor,
Item,Maple OF,95,0,0,14,0,1330,14,0,1316,1316,1316,Liquor,
Item,Alpamanta Malbec,3,0,0,15,0,45,30,0,15,15,15,Wine,
Item,CH Bison Burger,46,2,1,18.57,0,916.47,148.5,43.47,724.5,724.5,767.97,Food,
Item,CH Crab Roll,6,0,0,20,0,126.63,9.5,6.63,110.5,110.5,117.13,Food,
Item,Mac & cheese,21,0,1,18,0,415.17,76.5,19.17,319.5,319.5,338.67,Food,
Item,Cynar,32,0,0,9.66,0,309,20,0,289,289,289,Liquor,
Item,Bombay Sapphire,376,0,0,13.8,0,5190,67,0,5123,5123,5123,Liquor,
Item,CH Hummus,14,0,2,12,0,201.72,30,9.72,162,162,171.72,Food,
Item,Ardbeg 10 Year,16,0,0,17.13,0,274,19,0,255,255,255,Liquor,
Item,Lemonade,7,0,0,3.29,0,24.42,0,1.39,23.03,23.03,24.42,Beverage,
Item,CH Nuts,24,0,0,4.08,0,103.76,0,5.76,98,98,103.76,Food,
Item,"CH Tin, Grilled Razor Clams",5,0,0,32,0,169.6,0,9.6,160,160,169.6,Food,
Item,Iced Tea,11,0,0,3.29,0,38.18,3.29,1.99,32.9,32.9,34.89,Beverage,
Item,"CH Tin,  Sardines citron confit, olive oil",11,0,0,15,0,174.9,0,9.9,165,165,174.9,Food,
Item,Granja Nomada,4,0,0,9,0,36,0,0,36,36,36,Liquor,
Item,D/ Corsendonk Xmas,16,0,0,10,0,160,10,0,150,150,150,Draft Beer,
Item,CH Lamb Burger,18,0,0,16,0,301.32,66,13.32,222,222,235.32,Food,
Item,Abstinent Reindeer,1,0,0,14,0,14,0,0,14,14,14,Liquor,
Item,Averell Sidecar,23,0,0,13.87,0,319,0,0,319,319,319,Liquor,
Item,Ch Nuts & Olives,30,1,1,11.42,0,372.48,46,18.48,308,308,326.48,Food,
Item,CH Turkey Sandwich,8,0,0,16.38,0,138.86,0,7.86,131,131,138.86,Food,
