Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,Broken Heels,944,9,0,8,0,7552,56,0,7496,7496,7496,Bottle Beer,
Item,Hot Tea,134,0,0,3,0,426.12,0,24.12,402,402,426.12,Beverage,
Item,Kalls Riesling,21,0,0,9,0,189,9,0,180,180,180,Wine,
Item,Marimonda,1,0,0,11,0,11,11,0,0,0,0,Liquor,
Item,Smith Oatmeal,113,1,0,8.5,0,961,8,0,953,953,953,Bottle Beer,
Item,Allagash Curieux,12,0,0,12,0,144,0,0,144,144,144,Bottle Beer,
Item,N/A Mimosa,12,0,0,7,0,84,0,0,84,84,84,Liquor,
Item,Vesper Martini,12,3,0,14,0,168,14,0,154,154,154,Liquor,
Item,D/ Triple Garre,120,0,0,10,0,1200,40,0,1160,1160,1160,Draft Beer,
Item,Sipsmith,30,0,0,16.05,0,481.5,51,0,430.5,430.5,430.5,Liquor,
Item,CH Pound Cake,208,2,7,10.53,0,2381.16,329,116.16,1936,1936,2052.16,Food,
Item,D/ New Trail IPA,47,0,0,7,0,329,14,0,315,315,315,Draft Beer,
Item,Ships Haven,12,0,0,10.92,0,131,34,0,97,97,97,Liquor,
Item,CH Crabcake Sand,126,1,12,10.81,0,1570.24,188,78.24,1304,1304,1382.24,Food,
Item,Ginger Beer,35,0,0,4,0,148.4,0,8.4,140,140,148.4,Beverage,
Item,Malibu,141,0,0,6.6,0,930,0,0,930,930,930,Liquor,
Item,Bellini,432,2,0,12,0,5184,96,0,5088,5088,5088,Liquor,
Item,Nikka Miyagikyo,4,0,0,26,0,104,0,0,104,104,104,Liquor,
Item,Maggies Farm Rum,7,0,0,9.57,0,67,9,0,58,58,58,Liquor,
Item,Grand Marnier,17,1,0,8.76,0,149,0,0,149,149,149,Liquor,
Item,Hot Chocolate,41,3,0,3.5,0,151.9,3.5,8.4,140,140,148.4,Beverage,
Item,D/ Pinot Noir,265,1,2,9,0,2403,189,0,2214,2214,2214,Wine,
Item,CH Lamb Gyro,122,0,4,10.48,0,1392.36,114,72.36,1206,1206,1278.36,Food,
Item,CH Smoked Lox,27,0,1,11,0,323.18,55,15.18,253,253,268.18,Food,
Item,Tyrconnell Irish Whiskey,3,0,0,10,0,30,0,0,30,30,30,Liquor,
Item,CH Italian Sub,359,4,28,14.48,0,5873.73,1099.5,269.73,4504.5,4504.5,4774.23,Food,
Item,New Trail IPA,25,1,0,7,0,175,0,0,175,175,175,Draft Beer,
Item,In Cold Blood,148,0,0,15,0,2220,30,0,2190,2190,2190,Liquor,
Item,Pride Dragonberry,74,1,0,8,0,592,24,0,568,568,568,Liquor,
Item,N/A Cider,2,0,0,3.5,0,7.42,0,0.42,7,7,7.42,Beverage,
Item,CH Mussels,4,0,1,13,0,67.73,19.5,2.73,45.5,45.5,48.23,Food,
Item,Crown Apple,44,0,0,7.86,0,346,0,0,346,346,346,Liquor,
Item,Genepy,1,0,0,9,0,9,0,0,9,9,9,Liquor,
Item,Chambord,19,0,0,9.74,0,185,0,0,185,185,185,Liquor,
Item,D/ Pinot Grigio,414,1,1,9,0,3735,81,0,3654,3654,3654,Wine,
